Country,Detailed Locations,Began,Ended,Duration,Dead,Displaced,Damage (USD),Main cause,Severity,Affected_Area,Magnitude,Longitude,Latitude
Uganda,Villages around Rwebisengo subcounty headquarters.Bundibugyo town. River Semliki,20-Aug-01,29-Aug-01,10,0,4000,,Heavy rain,1,15804.14,5.2,30.0151,0.652639
China,Yunnan Province -Funing county in Wenshan Zhuang and Miao Autonomous Prefecture. Funing town. Puting River.,25-Aug-01,25-Aug-01,1,15,2000,,Heavy rain,1,5570.29,3.7,106.122,23.6726
Vietnam,"Central Highlands provinces:Binh Thuan, Daklak, Lam Dong.",20-Aug-01,22-Aug-01,3,11,640,"400,000",Heavy rain,1,23437.85,4.8,108.296,12.0911
South Africa,"Cape Townarea- Philippi suburb, Cape Flats, Hout Bay. Liesbeek River",17-Aug-01,03-Sep-01,18,0,15000,"36,000,000",Heavy rain,2,1280.11,4.7,18.6043,-33.8547
Cambodia,"Northern and eastern Cambodia - Provinces: Kampong Cham, Stung Treng, Kratie, Prey Veng, Kandal. Towns: Kratie. Mekong and Tonle Sap rivers. Vietnam - Provinces: Dong Thap, An Giang,, Long An, Can Tho. Mekong RiverDelta. Cities: Can Tho. Rivers: Mekong, Tien and Hau. Additional areas affected in late October: Kien Giang, Vinh Long, Tien Giang, and Ben Tre provinces and some suburban districts of Ho Chi Minh City.",15-Aug-01,19-Nov-01,97,416,1060000,"100,900,000",Monsoonal rain,2,74458.22,7.2,105.382,11.7684
Pakistan,A village in Dera Ghazi Khan district of central Punjab province.,16-Aug-01,16-Aug-01,1,6,0,,Brief torrential rain,1,3031.91,3.5,70.7261,30.0691
India,Chamba district of Himachal Pradesh State.,14-Aug-01,15-Aug-01,2,16,0,,Heavy rain,1,3009.11,3.8,76.1481,32.6061
Chad,"Regions: Western and Eastern Logone; Middle Chari; Eastern and Western Tandjill_, Mayo Dallah, Mayo Boneye, Mandoul, Salamat . Banguirmi, Ouaddai (Dar Sila district). Bemian village. Departments: Tandjil_ East and West, Bahr Koh, Dar Sila, Logone Occidental, Logone Oriental, Chari-Banguirmi Salamat, Batha East and West, Mayo Dalla, Mayo Bonoye and Kabia. Rivers: Logone, Chari and Batha.",19-Aug-01,11-Oct-01,54,100,40000,,Brief torrential rain,1,104251.73,6.8,16.2605,9.32666
Philippines,"Mindanao Island - Provinces: Zamboanga del Sur, Maguindanao, Sultan Kudarat, North Cotabato, Misamis Occidental, Zamboanga del Norte and Zamboanga Sibugay. Salug Valley. Towns: Ramon Magsaysay, Sominot, Molave, Tambulig, Mahayag, Josefina, Dumingag and Bayog. Rivers: Salug Daku and Salug Diyot. Negros Island - southern Negros Occidental. Barangay Santol, Binalbagan",12-Aug-01,14-Aug-01,3,34,79000,"8,300,000",Brief torrential rain,1,31875.75,5,122.872,7.79888
Thailand,"Thailand - Lom Sak District of Phetchabun Province, Nam Kor village.Eastern Udon, Chiang Mai, Chiang Ra, Lam Phun, Nong Khai, Phrae and Nan Provinces. Vietnam North central coast - Provinces: Ha Tinh, Quang Binh, Nghe An.",10-Aug-01,25-Aug-01,16,173,10000,"26,400,000",Brief torrential rain,1,4162.8,4.8,105.953,18.3607
Iran,"Provinces: Golestan, Khorasan, Semnan . Gorgan region. cities/towns: Kalaleh, Minudasht, Jajarm",10-Aug-01,12-Aug-01,3,600,15000,"58,000,000",Brief torrential rain,2,77941.49,5.7,56.9063,36.8725
Afghanistan,Mohammad Agha district of Logar province.,08-Aug-01,08-Aug-01,1,2,0,,Brief torrential rain,1,1282.21,3.1,69.1549,34.6188
Russia,"Southern Primorye - Vladivostok city and suburbs. Districts: Artyom, Nakhodka, Partizansk, Fokino, Bolshoi Kamen, Dalnegorsk, Ussuriisk. Rivers: Sedanka, Partizanskaya.",06-Aug-01,12-Aug-01,7,11,30000,"12,000,000",Heavy rain,1,36650.01,5.4,133.797,43.6492
